State,Population,Population_density,GDP_millions,Productivity_dollar_per_capita,Min_Wage,Bachelors_degree,Bachelors_HL,Violent_crime_rate_per_100000,Crime_HL_Avg,Median_income_by_household,Standard_error,Avg_1_bed_rent,Avg_Snow_Inches,Snow_HL_Median
Alabama,4860545,96.8,207608,42689,7.25,27.2,L,532,H,47221,2301,709,0.57,L
Alaska,741522,1.3,51506,69425,9.75,29,L,805,H,75723,4086,1000,64.46,H
Arizona,6908642,64.1,309103,44597,8.05,28.3,L,471,H,57100,1971,892,4.76,L
Arkansas,2988231,58,121448,40642,8,25,L,554,H,45907,2165,579,4.04,L
California,39296476,253.7,2656080,67671,10,35.3,H,445,H,66637,1075,1667,3.76,L
Colorado,5530105,55.6,330319,59619,8.31,40.9,H,344,L,70566,4125,1002,67.3,H
Connecticut,3587685,736.6,266597,74542,9.6,43.7,H,228,L,75923,3404,1042,37.85,H
Delaware,952698,499.6,71769,75382,8.25,33.2,L,510,H,58046,2992,888,16.94,L
Florida,20656589,400.7,947007,45943,8.05,29.8,L,429,H,51176,835,1052,0.01,L
Georgia,10313620,184.6,532805,51677,7.25,32.8,L,390,L,53527,1679,796,0.76,L
Hawaii,1428683,220.3,84889,59423,8.5,33,L,242,L,72133,2510,1615,0,L
Idaho,1680026,21.6,68450,40668,7.25,29.3,L,231,L,56564,1261,591,36.49,H
Illinois,12835726,228.2,798999,62414,8.25,40.1,H,437,H,61386,1761,860,21.75,L
Indiana,6634007,187.9,346591,52252,7.25,30.1,L,400,H,56094,2877,592,21.93,H
Iowa,3130869,56.5,181007,57743,7.25,35.1,H,293,L,59094,2484,776,31.27,H
Kansas,2907731,35.6,154574,53168,7.25,35.7,H,401,H,56810,3268,590,15.42,L
Kentucky,4436113,113.1,201545,45424,7.25,27.5,L,236,L,45369,2005,717,8.83,L
Louisiana,4686157,107.6,237569,50745,7.25,25.9,L,565,H,42196,1197,751,0.2,L
Maine,1330232,43.6,59857,44955,7.5,34.2,L,124,L,50856,3346,953,77.28,H
Maryland,6024752,622.9,384386,63889,8.75,43.3,H,482,H,73760,2591,1264,20.61,L
Massachusetts,6823721,883.5,516483,75822,10,50,H,381,L,72266,2911,1898,51.05,H
Michigan,9933445,176.7,495300,49888,8.5,32.4,L,461,H,57091,1908,735,60.66,H
Minnesota,5525050,70.8,341318,61834,8,40.4,H,242,L,70218,4045,1079,43.43,H
Mississippi,2985415,63.4,108215,36208,7.25,23.4,L,282,L,41099,1226,862,0.71,L
Missouri,6091176,89.3,304431,49964,7.65,33.5,L,521,H,55016,1719,678,12.67,L
Montana,1038656,7.3,46506,44609,8.05,32.8,L,374,L,57075,2880,1079,37.28,H
Nebraska,1907603,25.2,116769,61228,9,37.7,H,297,L,59374,2678,743,28.12,H
Nevada,2939254,28.1,151348,51478,8.25,23.1,L,678,H,55431,2137,783,18.83,L
New Hampshire,1335015,151.9,79155,59301,7.25,40.8,H,200,L,76260,2913,1290,71.44,H
New Jersey,8978416,1207.8,588706,65818,8.38,45.2,H,244,L,68468,2867,1402,23.73,H
New Mexico,2085432,17.3,94974,45638,7.5,24.7,L,699,H,48451,2961,609,22.74,H
New York,19836286,412.8,1494981,75713,9,43,H,375,L,61437,1405,1630,55.32,H
North Carolina,10156689,215.7,526809,51919,7.25,34,L,372,L,53764,1629,838,5.03,L
North Dakota,755548,11,52796,69656,7.25,36.5,H,252,L,60184,2290,624,37,H
Ohio,11622554,286.1,638185,54948,8.1,32.6,L,308,L,53985,1894,635,26.63,H
Oklahoma,3921207,57.7,185602,47304,7.25,26.6,L,455,H,50943,1652,626,5.88,L
Oregon,4085989,43.9,229837,56147,9.75,35.3,H,269,L,59135,2622,961,10.91,L
Pennsylvania,12787085,286.1,740039,57887,7.25,38.4,H,316,L,60979,2036,1210,35.84,H
Rhode Island,1057566,1024.5,58527,55401,9.6,39.3,H,239,L,61528,2828,1186,38.85,H
South Carolina,4959822,171.2,212529,42839,7.25,29.5,L,507,H,54336,3153,882,1.5,L
South Dakota,861542,11.7,48893,56494,8.55,32.6,L,422,H,57450,3075,325,37.43,H
Tennessee,6649404,165.6,333966,50211,7.25,29.9,L,639,H,51344,1387,722,4.61,L
Texas,27904862,111,1652657,59315,7.25,30.4,L,434,H,58146,1407,838,1.36,L
Utah,3044321,39,160002,52439,7.25,34.6,L,243,L,67481,2237,722,40.99,H
Vermont,623354,67.7,31483,50406,9.6,40.5,H,137,L,60837,1364,1378,89.25,H
Virginia,8414380,216.1,500833,59539,7.25,41.7,H,220,L,66451,2436,990,14.85,L
Washington,7280934,114.6,476550,65388,9.47,37.5,H,304,L,70310,2092,1145,15.57,L
West Virginia,1828637,74.6,75199,41068,8.75,25.2,L,363,L,44354,1994,831,25.13,H
Wisconsin,5772917,107.5,314104,54355,7.25,35.2,H,307,L,59817,1845,666,45.79,H
Wyoming,584910,6,38463,65692,7.25,28.4,L,244.7,L,57829,3122,712,51,H
United States Total,323405935,92.9,,,7.25,34.9,,397.5,,59039,436,,21.93,
