State,Population,Violent_crime_rate_per_100000,Lesser_or_higher_than_national_rate,Median_income_by_household,Standard_error,Avg_1_bed_rent,Avg_Snow_Inches,Lesser_or_higher_than_median
Alabama,4860545,532,H,47221,2301,709,0.57,L
Alaska,741522,805,H,75723,4086,1000,64.46,H
Arizona,6908642,471,H,57100,1971,892,4.76,L
Arkansas,2988231,554,H,45907,2165,579,4.04,L
California,39296476,445,H,66637,1075,1667,3.76,L
Colorado,5530105,344,L,70566,4125,1002,67.3,H
Connecticut,3587685,228,L,75923,3404,1042,37.85,H
Delaware,952698,510,H,58046,2992,888,16.94,L
District of Columbia,684336,1204,H,70982,2734,1999,17.61,L
Florida,20656589,429,H,51176,835,1052,0.01,L
Georgia,10313620,390,L,53527,1679,796,0.76,L
Hawaii,1428683,242,L,72133,2510,1615,0,L
Idaho,1680026,231,L,56564,1261,591,36.49,H
Illinois,12835726,437,H,61386,1761,860,21.75,L
Indiana,6634007,400,H,56094,2877,592,21.93,H
Iowa,3130869,293,L,59094,2484,776,31.27,H
Kansas,2907731,401,H,56810,3268,590,15.42,L
Kentucky,4436113,236,L,45369,2005,717,8.83,L
Louisiana,4686157,565,H,42196,1197,751,0.2,L
Maine,1330232,124,L,50856,3346,953,77.28,H
Maryland,6024752,482,H,73760,2591,1264,20.61,L
Massachusetts,6823721,381,L,72266,2911,1898,51.05,H
Michigan,9933445,461,H,57091,1908,735,60.66,H
Minnesota,5525050,242,L,70218,4045,1079,43.43,H
Mississippi,2985415,282,L,41099,1226,862,0.71,L
Missouri,6091176,521,H,55016,1719,678,12.67,L
Montana,1038656,374,L,57075,2880,1079,37.28,H
Nebraska,1907603,297,L,59374,2678,743,28.12,H
Nevada,2939254,678,H,55431,2137,783,18.83,L
New Hampshire,1335015,200,L,76260,2913,1290,71.44,H
New Jersey,8978416,244,L,68468,2867,1402,23.73,H
New Mexico,2085432,699,H,48451,2961,609,22.74,H
New York,19836286,375,L,61437,1405,1630,55.32,H
North Carolina,10156689,372,L,53764,1629,838,5.03,L
North Dakota,755548,252,L,60184,2290,624,37,H
Ohio,11622554,308,L,53985,1894,635,26.63,H
Oklahoma,3921207,455,H,50943,1652,626,5.88,L
Oregon,4085989,269,L,59135,2622,961,10.91,L
Pennsylvania,12787085,316,L,60979,2036,1210,35.84,H
Rhode Island,1057566,239,L,61528,2828,1186,38.85,H
South Carolina,4959822,507,H,54336,3153,882,1.5,L
South Dakota,861542,422,H,57450,3075,325,37.43,H
Tennessee,6649404,639,H,51344,1387,722,4.61,L
Texas,27904862,434,H,58146,1407,838,1.36,L
Utah,3044321,243,L,67481,2237,722,40.99,H
Vermont,623354,137,L,60837,1364,1378,89.25,H
Virginia,8414380,220,L,66451,2436,990,14.85,L
Washington,7280934,304,L,70310,2092,1145,15.57,L
West Virginia,1828637,363,L,44354,1994,831,25.13,H
Wisconsin,5772917,307,L,59817,1845,666,45.79,H
Wyoming,584910,245,L,57829,3122,712,51,H
